ID,AB3_ACTUAL
132,2011-01-11
133,2011-01-11
134,2011-01-11
135,2011-01-11
136,2011-01-11
137,2011-01-11
138,2011-01-11
139,2011-01-11
140,2011-01-11
141,2011-01-11
142,2011-01-11
143,2011-01-11
144,2011-01-11
145,2011-01-11
203,2011-01-18
204,2011-01-18
205,2011-01-18
206,2011-01-18
207,2011-01-18
208,2011-01-18
209,2011-01-18
210,2011-01-18
211,2011-01-18
212,2011-01-18
213,2011-01-18
214,2011-01-18
215,2011-01-18
216,2011-01-18
217,2011-01-18
218,2011-01-18
219,2011-01-18
220,2011-03-04
221,2011-03-04
222,2011-03-04
223,2011-03-04
224,2011-03-04
225,2011-03-04
226,2011-03-04
227,2011-03-04
228,2011-03-04
229,2011-03-04
230,2011-03-04
231,2011-03-04
232,2011-03-04
233,2011-03-04
234,2011-03-04
235,2011-03-04
251,2011-01-11
252,2011-01-11
253,2011-01-11
254,2011-01-11
255,2011-01-11
256,2011-01-11
257,2011-01-11
258,2011-01-11
259,2011-01-11
260,2011-01-11
261,2011-01-11
262,2011-01-11
263,2011-01-11
264,2011-01-11
296,2011-01-26
297,2011-01-26
298,2011-01-26
299,2011-01-26
300,2011-01-26
301,2011-01-26
302,2011-01-26
303,2011-01-26
304,2011-01-26
305,2011-01-26
306,2011-01-26
307,2011-01-26
308,2011-01-26
309,2011-01-26
